company_id,name,reason_bucket,cleanup_action,entity_type,entity_confidence,entity_evidence,head_object,object_kind,object_candidate,verb_anchor,url_lookup_name,resolved_url,reason,priority_tier,priority_score,industry,signal_count,signal_types
285,Omnicell,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),Omnicell,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Healthcare,6,news
292,Vitestro,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),Vitestro,unknown,,,,,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Medical Technology,3,funding_round
295,Cellares,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),Cellares,unknown,,,,,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Automotive & Manufacturing,3,"funding_round,news,strategic_hire"
328,Changi Airport,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Airport,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Airports & Aviation,10,"automation_interest,expansion,news,strategic_hire"
345,Target Corporation,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.92,has legal entity suffix (Inc/LLC/Corp/Ltd/…),Corporation,sentence_or_headline,,Target,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Retail,2,news
386,Restaurant Brands International,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.92,has legal entity suffix (Inc/LLC/Corp/Ltd/…),International,unknown,,,,,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Food Service,2,"ma_activity,news"
412,UPS Supply Chain Solutions,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.75,title-case proper noun; starts with capital letter; compact name (4 word(s)),Solutions,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Logistics,2,news
481,Hilton Worldwide Holdings,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.92,has legal entity suffix (Inc/LLC/Corp/Ltd/…),Holdings,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Hospitality,5,"funding_round,ma_activity,news"
532,Air India CEO,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (3 word(s)),CEO,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Airports & Aviation,2,"automation_interest,news"
811,Rivian Spinout Mind Robotics,malformed_entity,repair_or_merge_candidate,malformed_entity_string,0.78,spin-out descriptor precedes a trailing candidate object; candidate object: 'Mind Robotics',Mind Robotics,candidate_object,Mind Robotics,,Mind Robotics,,logic engine: inference gate: classified as malformed_entity_string (conf=0.78) — spin-out descriptor precedes a trailing candidate object; candidate object: 'Mind Robotics',COLD,0.0,Automotive & Manufacturing,2,expansion
820,Dutch hospitality operating system Mews,malformed_entity,repair_or_merge_candidate,malformed_entity_string,0.78,descriptor phrase precedes a trailing candidate object; candidate object: 'Mews',Mews,candidate_object,Mews,,Mews,,junk pattern: (?i)^(dutch|american|us|u\.s\.|japanese|korean|german|swedis,COLD,0.0,Healthcare,3,automation_interest
832,FinThrive,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),FinThrive,unknown,,,,,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Healthcare,2,strategic_hire
838,MGM Springfield and the technology,malformed_entity,repair_or_merge_candidate,malformed_entity_string,0.84,candidate object embedded in malformed sentence tail; candidate object: 'MGM Springfield',technology,malformed_entity_string,MGM Springfield,,MGM Springfield,,logic engine: inference gate: classified as malformed_entity_string (conf=0.84) — candidate object embedded in malformed sentence tail; candidate object: 'MGM Springfield',COLD,0.0,Casinos & Gaming,3,strategic_hire
839,Bay - Challenger,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (3 word(s)),Challenger,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,1,news
842,Seagull Software,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Software,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Datacenters,2,"expansion,strategic_hire"
848,Supply chain consultancy SCALA,malformed_entity,repair_or_merge_candidate,malformed_entity_string,0.78,descriptor phrase precedes a trailing candidate object; candidate object: 'SCALA',SCALA,candidate_object,SCALA,,SCALA,,junk pattern: (?i)^(supply\s+chain|hospitality|logistics|restaurant|hotel),COLD,0.0,Logistics,3,expansion
849,Twin Peaks owner,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (3 word(s)),owner,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,4,news
852,Curative,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),Curative,unknown,,,,,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Healthcare,3,funding_round
853,Empathy Health,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Health,unknown,,,,,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Healthcare,3,funding_round
855,JetBlue,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),JetBlue,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Airports & Aviation,3,automation_interest
856,Heathrow Airport,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Airport,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Airports & Aviation,5,"automation_interest,news"
858,Pailton Engineering,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Engineering,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Automotive & Manufacturing,4,news
874,Dipylon Medical,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Medical,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Healthcare,5,"funding_round,news"
886,FV Hospital,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Hospital,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Medical Technology,2,"automation_interest,strategic_hire"
892,Dutch Bros,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Bros,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,2,news
901,Rivian spin-out Mind Robotics,malformed_entity,repair_or_merge_candidate,malformed_entity_string,0.78,spin-out descriptor precedes a trailing candidate object; candidate object: 'Mind Robotics',Mind Robotics,candidate_object,Mind Robotics,,Mind Robotics,,logic engine: inference gate: classified as malformed_entity_string (conf=0.78) — spin-out descriptor precedes a trailing candidate object; candidate object: 'Mind Robotics',COLD,0.0,Automotive & Manufacturing,3,"funding_round,strategic_hire"
905,Premiums,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),Premiums,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,1,news
910,McDonald,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),McDonald,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,7,"news,strategic_hire"
912,Serve Robotics and White Castle,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.85,title-case proper noun; starts with capital letter; 5-word name (borderline compact),Castle,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Logistics,3,automation_interest
919,Data Center Robotics Business,headline_or_description,review,description,0.78,noun phrase head object extracted; head object: 'Business',Business,abstract_descriptor,,,,,logic engine: inference gate: classified as description (conf=0.78) — noun phrase head object extracted; head object: 'Business',COLD,0.0,Datacenters,3,expansion
938,General Mills,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Mills,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Automotive & Manufacturing,3,news
939,NexChapter,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),NexChapter,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Retail,1,news
940,Del Taco owner,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (3 word(s)),owner,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,2,expansion
941,Performance Food Group,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.92,has legal entity suffix (Inc/LLC/Corp/Ltd/…),Group,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Logistics,2,news
942,Chipotle,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),Chipotle,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,3,news
943,Wingstop,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),Wingstop,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,2,news
944,Duravant,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),Duravant,unknown,,,,,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Automotive & Manufacturing,3,"ma_activity,news"
950,Northern Kentucky International Airport,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (4 word(s)),Airport,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Airports & Aviation,3,automation_interest
954,Brick Hospitality,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Hospitality,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Hospitality,3,automation_interest
959,VeroSkills,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),VeroSkills,unknown,,,,,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Media & Publishing,2,expansion
962,Hesai Technology,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.75,title-case proper noun; starts with capital letter; compact name (2 word(s)),Technology,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Automotive & Manufacturing,3,automation_interest
966,Novant Health,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Health,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Healthcare,4,automation_interest
997,Don Mueang,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Mueang,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Media & Publishing,3,news
1005,CreateMe,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),CreateMe,unknown,,,,,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Apparel & Textiles,5,"automation_interest,news,strategic_hire"
1008,Rotostitch,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),Rotostitch,unknown,,,,,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Apparel & Textiles,5,"funding_round,news"
1009,Textile manufacturer,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.7,starts with capital letter; compact name (2 word(s)); no sentence-punctuation,manufacturer,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Apparel & Textiles,2,automation_interest
1011,Baba Fashion,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Fashion,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Apparel & Textiles,1,automation_interest
1015,First Solar,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Solar,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Automotive & Manufacturing,3,news
1017,Hadrian,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (1 word(s)),Hadrian,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Automotive & Manufacturing,4,"funding_round,strategic_hire"
1023,Terawatt Infrastructure,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Infrastructure,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Automotive & Manufacturing,2,news
1025,Fuel Transport,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Transport,sentence_or_headline,,Fuel,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Logistics,3,news
1032,Major 2026 Conferences -,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (4 word(s)),Conferences,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Media & Publishing,1,news
1033,Online supermarket Picnic,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (3 word(s)),Picnic,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Retail,2,strategic_hire
1040,Doctors Hospital,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Hospital,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Healthcare,2,funding_round
1050,Des Moines,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Moines,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,2,expansion
1052,Habit Burger,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Burger,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,7,news
1053,Fremont Restaurant Week,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (3 word(s)),Week,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,2,news
1055,Yum Brands Battles Rival Restaurants,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.85,title-case proper noun; starts with capital letter; 5-word name (borderline compact),Restaurants,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,3,news
1056,Discuss Restaurant,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Restaurant,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,1,news
1065,Top Robotics Stocks,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (3 word(s)),Stocks,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,3,automation_interest
1067,Empty Midway Why,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (3 word(s)),Why,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,1,news
1069,Great America,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),America,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Healthcare,2,news
1071,Overlooked Toll Of,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (3 word(s)),Of,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,2,expansion
1075,Fast Facts,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Facts,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,6,news
1076,McKinsey Technology,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.75,title-case proper noun; starts with capital letter; compact name (2 word(s)),Technology,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,2,news
1079,Sri Lanka,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Lanka,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Media & Publishing,8,"expansion,news"
1080,Common Challenges,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Challenges,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Healthcare,4,news
1088,Heathrow Airport Embraces,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (3 word(s)),Embraces,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Airports & Aviation,2,automation_interest
1094,Hotels - Travel Agent Central,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.85,title-case proper noun; starts with capital letter; 5-word name (borderline compact),Central,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Hospitality,1,expansion
1095,Fleet Management Software,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (3 word(s)),Software,unknown,,,,,"buyer opportunity gate: seller/vendor or publisher story, not a buyer opportunity",COLD,0.0,Media & Publishing,6,news
1101,MercadoLibre Stock NASDAQ MELI News,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.85,title-case proper noun; starts with capital letter; 5-word name (borderline compact),News,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Automotive & Manufacturing,1,strategic_hire
1103,Intuitive Surgical,buyer_opportunity_gate,keep_not_current_opportunity,company_name,0.95,title-case proper noun; starts with capital letter; compact name (2 word(s)),Surgical,unknown,,,,,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Medical Technology,10,"automation_interest,news"
