company_name,website,country,vendor_role,robot_category,primary_robots,work_type,industries,commercial_maturity,us_availability,sales_model,notes,source,verification,vendor_type
Vecna Robotics,https://www.vecnarobotics.com,USA,robot_oem,amr_agv_material_transport,Vecna AMR,material transport,Logistics;Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Seegrid,https://seegrid.com,USA,robot_oem,amr_agv_material_transport,Palion,vision AMR / tow,Manufacturing;Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
6 River Systems (Shopify),https://6river.com,USA,robot_oem,amr_agv_material_transport,Chuck,fulfillment AMR,Retail;Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
AutoGuide Mobile Robots,https://www.autoguidemobiles.com,USA,robot_oem,amr_agv_material_transport,MAX N10,tugger/AMR,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Clearpath Robotics,https://clearpathrobotics.com,Canada,robot_oem,amr_agv_material_transport,OTTO/OTTO Fleet,AMR platforms,Manufacturing;Research,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Omron Mobile Robots,https://automation.omron.com,Japan,robot_oem,amr_agv_material_transport,LD/HD series,AMR,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Kivnon,https://www.kivnon.com,Spain,robot_oem,amr_agv_material_transport,Kivnon AGV,AGV,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Swisslog,https://www.swisslog.com,Switzerland,robot_oem,amr_agv_material_transport,CarryPick,GTP AMR,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Dematic,https://www.dematic.com,USA,robot_oem,amr_agv_material_transport,Mobile Robots,warehouse AMR,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Murata Machinery,https://www.muratec.net,Japan,robot_oem,amr_agv_material_transport,AGV/AMR,material transport,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Daifuku,https://www.daifuku.com,Japan,robot_oem,amr_agv_material_transport,AGV systems,material transport,Logistics;Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
JBT Corporation,https://www.jbtc.com,USA,robot_oem,amr_agv_material_transport,AGV,industrial AGV,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Oceaneering AGV,https://www.oceaneering.com,USA,robot_oem,amr_agv_material_transport,AGV,industrial AGV,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Transbotics,https://www.transbotics.com,USA,robot_oem,amr_agv_material_transport,AGV,AGV,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Bastians,https://www.bastian-solutions.com,USA,robot_oem,amr_agv_material_transport,AGV,AGV,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
inVia Robotics,https://www.invitarobotics.com,USA,robot_oem,amr_agv_material_transport,Picker,GTP AMR,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
IAM Robotics,https://www.iamrobotics.com,USA,robot_oem,amr_agv_material_transport,Swift,mobile pick,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Magazino,https://www.magazino.eu,Germany,robot_oem,amr_agv_material_transport,TORU/SOTO,piece picking AMR,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
SAFELOG,https://www.safelog.de,Germany,robot_oem,amr_agv_material_transport,AGV,AGV,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
AGILOX,https://www.agilox.com,Austria,robot_oem,amr_agv_material_transport,ONE/OCF,swarm AMR/fork,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
SEER Robotics,https://www.seer-group.com,China,robot_oem,amr_agv_material_transport,AMR,AMR,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Hikrobot,https://www.hikrobotics.com,China,robot_oem,amr_agv_material_transport,Latent AMR,AMR,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Standard Robots,https://www.standard-robots.com,China,robot_oem,amr_agv_material_transport,AMR,AMR,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
CSG Huashu,https://www.csg.com.cn,China,robot_oem,amr_agv_material_transport,AMR,AMR,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Youibot,https://www.youibot.com,China,robot_oem,amr_agv_material_transport,AMR,AMR,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Multiway Robotics,https://www.multiway-robotics.com,China,robot_oem,amr_agv_material_transport,AMR/fork,AMR,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
VisionNav Robotics,https://www.visionnav.com,China,robot_oem,amr_agv_material_transport,VisionNav AMR,AMR,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Knott AGV,https://www.knott.de,Germany,robot_oem,amr_agv_material_transport,AGV,AGV,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
DS Automotion,https://www.ds-automotion.com,Austria,robot_oem,amr_agv_material_transport,AGV,AGV,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Servus Intralogistics,https://www.servus.info,Austria,robot_oem,amr_agv_material_transport,Servus,in-production AMR,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Grenzebach,https://www.grenzebach.com,Germany,robot_oem,amr_agv_material_transport,Lifting AGV,AGV,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
ASTI Mobile Robotics (ABB),https://global.abb,Spain,robot_oem,amr_agv_material_transport,ASTI AMR,AMR,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
BlueBotics,https://www.bluebotics.com,Switzerland,robot_oem,amr_agv_material_transport,ANT navigation,AMR autonomy,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Kollmorgen AGV,https://www.kollmorgen.com,USA,robot_oem,amr_agv_material_transport,NDC,AGV controls,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
SICK Mobile Robots,https://www.sick.com,Germany,robot_oem,amr_agv_material_transport,safety AMR stack,AMR sensing,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Neobotix,https://www.neobotix-roboter.de,Germany,robot_oem,amr_agv_material_transport,mobile platforms,AMR platforms,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Robotnik,https://www.robotnik.eu,Spain,robot_oem,amr_agv_material_transport,RB-VOGUI,mobile platforms,Manufacturing;Research,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
PAL Robotics,https://pal-robotics.com,Spain,robot_oem,amr_agv_material_transport,TIAGo/ARI,service mobile,Research;Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Addverb,https://addverb.com,India,robot_oem,amr_agv_material_transport,SortIE/CartIE,warehouse AMR,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
System Logistics,https://www.systemlogistics.com,Italy,robot_oem,amr_agv_material_transport,AGV,AGV,Food & Beverage,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Eurofork,https://www.eurofork.com,Italy,robot_oem,amr_agv_material_transport,AGV,AGV,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Scaglia INDEVA,https://www.indevagroup.com,Italy,robot_oem,amr_agv_material_transport,AGV,AGV,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Mirage AGV,https://www.mirage.biz,Italy,robot_oem,amr_agv_material_transport,AGV,AGV,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Rocla AGV (Mitsubishi Logisnext),https://www.rocla.com,Finland,robot_oem,amr_agv_material_transport,AGV,AGV,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Mitsubishi Logisnext,https://www.mitsubishi-logisnext.com,Japan,robot_oem,amr_agv_material_transport,AGV/fork,material handling,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Toyota Material Handling AGV,https://www.toyota-forklifts.eu,Japan,robot_oem,amr_agv_material_transport,AGV,AGV,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Jungheinrich AGV,https://www.jungheinrich.com,Germany,robot_oem,amr_agv_material_transport,AGV,AGV,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Still AGV,https://www.still.eu,Germany,robot_oem,amr_agv_material_transport,AGV,AGV,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Linde Material Handling AGV,https://www.linde-mh.com,Germany,robot_oem,amr_agv_material_transport,AGV,AGV,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Crown Equipment AGV,https://www.crown.com,USA,robot_oem,amr_agv_material_transport,AGV,AGV,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Hyster-Yale AGV,https://www.hyster.com,USA,robot_oem,amr_agv_material_transport,AGV,AGV,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Raymond AGV,https://www.raymondcorp.com,USA,robot_oem,amr_agv_material_transport,AGV,AGV,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Balyo,https://www.balyo.com,France,robot_oem,amr_agv_material_transport,Driven by Balyo,autonomous pallet,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Symbotic,https://www.symbotic.com,USA,robot_oem,amr_agv_material_transport,Symbotic system,warehouse robotics,Retail;Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Ocado Technology,https://www.ocadotechnology.com,UK,robot_oem,amr_agv_material_transport,grid bots,grocery automation,Retail,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Alert Innovation (Walmart),https://www.walmart.com,USA,robot_oem,amr_agv_material_transport,Alphabot,GTP,Retail,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Takeoff Technologies,https://www.takeoff.com,USA,robot_oem,amr_agv_material_transport,eGrocery microfulfillment,microfulfillment,Retail,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Fabric,https://fabric.inc,USA,robot_oem,amr_agv_material_transport,microfulfillment,microfulfillment,Retail,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Attabotics,https://www.attabotics.com,Canada,robot_oem,amr_agv_material_transport,3D structure,storage/retrieval,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
AutoStore,https://www.autostore.com,Norway,robot_oem,amr_agv_material_transport,R5/R5+,cube storage,Logistics;Retail,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Berkshire Grey,https://www.berkshiregrey.com,USA,robot_oem,amr_agv_material_transport,robotic sortation,sortation,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Kindred AI (Ocado),https://www.kindred.ai,Canada,robot_oem,amr_agv_material_transport,SORT,piece picking,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Caja Robotics,https://www.cajarobotics.com,Israel,robot_oem,amr_agv_material_transport,AMR,fulfillment AMR,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Gideon Brothers,https://www.gideon.ai,Croatia,robot_oem,amr_agv_material_transport,AMR,material transport,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Milvus Robotics,https://www.milvusrobotics.com,Turkey,robot_oem,amr_agv_material_transport,AMR,AMR,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Ottonomy,https://www.ottonomy.io,USA,robot_oem,amr_agv_material_transport,Ottobot,indoor/outdoor AMR,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Fox Robotics,https://www.foxrobotics.com,USA,robot_oem,autonomous_forklift_pallet,FoxBot ATL,trailer load/unload,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Third Wave Automation,https://www.thirdwave.ai,USA,robot_oem,autonomous_forklift_pallet,TWA Reach,warehouse pallet,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Cyngn,https://cyngn.com,USA,robot_oem,autonomous_forklift_pallet,DriveMod,industrial vehicle autonomy,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Hangcha Intelligent,https://www.hangcha.com,China,robot_oem,autonomous_forklift_pallet,intelligent forklift,autonomous forklift,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
EP Equipment,https://www.ep-equipment.com,China,robot_oem,autonomous_forklift_pallet,EP autonomous,pallet trucks,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Heli Intelligent,https://www.helichina.com,China,robot_oem,autonomous_forklift_pallet,Heli AGV fork,autonomous forklift,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Yale Reliant / robotic,https://www.yale.com,USA,robot_oem,autonomous_forklift_pallet,robotic solutions,material handling,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Clark Material Handling robotic,https://www.clarkmhc.com,USA,robot_oem,autonomous_forklift_pallet,robotic forklift,forklift automation,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Combilift AGV,https://www.combilift.com,Ireland,robot_oem,autonomous_forklift_pallet,Combi-AGV,long-load AGV,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Hubtex AGV,https://www.hubtex.com,Germany,robot_oem,autonomous_forklift_pallet,AGV multidirectional,sideloader AGV,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
BAUMANN AGV,https://www.baumann-sideloaders.com,Germany,robot_oem,autonomous_forklift_pallet,sideloader AGV,long loads,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Landing AI Logistics partners,https://landing.ai,USA,robot_oem,autonomous_forklift_pallet,vision forklift,vision autonomy,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Outrider,https://www.outrider.ai,USA,robot_oem,autonomous_forklift_pallet,yard truck autonomy,yard logistics,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Gatik,https://gatik.ai,USA,robot_oem,autonomous_forklift_pallet,middle-mile autonomy,freight,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Phantom Auto,https://phantom.auto,USA,robot_oem,autonomous_forklift_pallet,teleop forklift,remote forklift,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Robotic Research / RR.AI,https://www.roboticresearch.com,USA,robot_oem,autonomous_forklift_pallet,AutoDrive,vehicle autonomy,Defense;Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
EK Robotics,https://www.ek-robotics.com,Germany,robot_oem,autonomous_forklift_pallet,AGV/AMR,AGV,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
MT Robot,https://www.mtrobot.com,China,robot_oem,autonomous_forklift_pallet,forklift AMR,autonomous forklift,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Reeman Robotics,https://www.reeman.cn,China,robot_oem,autonomous_forklift_pallet,forklift AMR,autonomous forklift,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Zhejiang Guozi Robotics,https://www.guozirobot.com,China,robot_oem,autonomous_forklift_pallet,forklift AMR,autonomous forklift,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Shanghai Noblelift Intelligent,https://www.noblelift.com,China,robot_oem,autonomous_forklift_pallet,intelligent trucks,pallet trucks,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Doosan Industrial Vehicle robotic,https://www.doosanindustrialvehicle.com,South Korea,robot_oem,autonomous_forklift_pallet,robotic forklift,forklift,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Hyundai Material Handling robotic,https://www.hyundaice.com,South Korea,robot_oem,autonomous_forklift_pallet,robotic forklift,forklift,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Mitsubishi Forklift Automation,https://www.mitsubishi-forklift.co.uk,Japan,robot_oem,autonomous_forklift_pallet,automated,forklift AGV,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
UniCarriers automated,https://www.unicarrierseurope.com,Japan,robot_oem,autonomous_forklift_pallet,automated,forklift AGV,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
PALOMAT automated pallet,https://www.palomat.com,Denmark,robot_oem,autonomous_forklift_pallet,pallet magazine,pallet handling,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
SoftBank Robotics warehouse partners,https://www.softbankrobotics.com,Japan,robot_oem,autonomous_forklift_pallet,warehouse AMR partners,warehouse,Logistics,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
FANUC,https://www.fanuc.com,Japan,robot_oem,industrial_robot_arms,R-2000/LR Mate,welding/handling,Automotive & Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
KUKA,https://www.kuka.com,Germany,robot_oem,industrial_robot_arms,KR series,industrial arms,Automotive & Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Yaskawa Motoman,https://www.motoman.com,Japan,robot_oem,industrial_robot_arms,GP/HC series,industrial arms,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Kawasaki Robotics,https://robotics.kawasaki.com,Japan,robot_oem,industrial_robot_arms,RS/BX series,industrial arms,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Mitsubishi Electric Robotics,https://www.mitsubishielectric.com,Japan,robot_oem,industrial_robot_arms,RV/RH,industrial arms,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Nachi Robotics,https://www.nachirobotics.com,Japan,robot_oem,industrial_robot_arms,MZ/MC,industrial arms,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Denso Robotics,https://www.densorobotics.com,Japan,robot_oem,industrial_robot_arms,VS/HM,industrial arms,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Epson Robots,https://epson.com/robots,Japan,robot_oem,industrial_robot_arms,SCARA/6-axis,assembly,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Staubli Robotics,https://www.staubli.com/robotics,Switzerland,robot_oem,industrial_robot_arms,TX/TS,industrial arms,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Comau,https://www.comau.com,Italy,robot_oem,industrial_robot_arms,NJ/Racer,automotive arms,Automotive & Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Igus ReBeL / robolink,https://www.igus.com,Germany,robot_oem,industrial_robot_arms,ReBeL,low-cost arms,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Reis Robotics,https://www.reisrobotics.com,Germany,robot_oem,industrial_robot_arms,welding systems,welding,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
CLOOS Robotics,https://www.cloos.de,Germany,robot_oem,industrial_robot_arms,welding robots,welding,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
OTC Daihen,https://www.daihen-usa.com,Japan,robot_oem,industrial_robot_arms,welding robots,welding,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Panasonic Robotics welding,https://www.panasonic.com,Japan,robot_oem,industrial_robot_arms,welding robots,welding,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Hyundai Robotics,https://www.hyundai-robotics.com,South Korea,robot_oem,industrial_robot_arms,HS/HH,industrial arms,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Hanwha Robotics,https://www.hanwharobotics.com,South Korea,robot_oem,industrial_robot_arms,HCR/HCR series,industrial/cobot,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Estun Automation,https://www.estun.com,China,robot_oem,industrial_robot_arms,ER series,industrial arms,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
SIASUN,https://www.siasun.com,China,robot_oem,industrial_robot_arms,industrial robots,industrial arms,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
EFORT Intelligent,https://www.efort.com.cn,China,robot_oem,industrial_robot_arms,ER series,industrial arms,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
STEP Electric,https://www.stepelectric.com,China,robot_oem,industrial_robot_arms,industrial robots,industrial arms,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
GSK CNC Equipment robots,https://www.gsk.com.cn,China,robot_oem,industrial_robot_arms,GSK robots,industrial arms,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Peitian Robotics,https://www.peitian.com,China,robot_oem,industrial_robot_arms,industrial robots,industrial arms,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Harbin Boshi Automation,https://www.boshi.cn,China,robot_oem,industrial_robot_arms,industrial robots,industrial arms,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Rethink Robotics (original Sawyer legacy),https://www.rethinkrobotics.com,USA,robot_oem,industrial_robot_arms,Sawyer legacy,cobot/arm,Manufacturing,discontinued,yes,direct+distributor,,curated_oem_list,curated,oem
Brooks Automation,https://www.brooks.com,USA,robot_oem,industrial_robot_arms,semiconductor robots,wafer handling,Semiconductor,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Genmark Automation,https://www.genmarkautomation.com,USA,robot_oem,industrial_robot_arms,wafer robots,semiconductor,Semiconductor,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
RORZE,https://www.rorze.com,Japan,robot_oem,industrial_robot_arms,wafer robots,semiconductor,Semiconductor,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Hirata Corporation,https://www.hirata.co.jp,Japan,robot_oem,industrial_robot_arms,transfer robots,semiconductor/FPD,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Yamaha Robotics,https://global.yamaha-motor.com,Japan,robot_oem,industrial_robot_arms,SCARA/linear,assembly,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
IAI Corporation,https://www.intelligentactuator.com,Japan,robot_oem,industrial_robot_arms,actuators/robots,assembly,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Toshiba Machine / Shibaura Machine,https://www.shibaura-machine.co.jp,Japan,robot_oem,industrial_robot_arms,industrial robots,injection/handling,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Olympus robotics medical arms,https://www.olympus-global.com,Japan,robot_oem,industrial_robot_arms,medical systems,medical,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Intuitive Surgical,https://www.intuitive.com,USA,robot_oem,industrial_robot_arms,da Vinci,surgical robot,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Stryker Mako,https://www.stryker.com,USA,robot_oem,industrial_robot_arms,Mako,orthopedic robot,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Medtronic Hugo / Mazor,https://www.medtronic.com,USA,robot_oem,industrial_robot_arms,Hugo/Mazor,surgical,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
CMR Surgical,https://cmrsurgical.com,UK,robot_oem,industrial_robot_arms,Versius,surgical,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Asensus Surgical,https://www.asensus.com,USA,robot_oem,industrial_robot_arms,Senhance,surgical,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Smith+Nephew CORI,https://www.smith-nephew.com,UK,robot_oem,industrial_robot_arms,CORI,ortho robot,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Zimmer Biomet ROSA,https://www.zimmerbiomet.com,USA,robot_oem,industrial_robot_arms,ROSA,ortho robot,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Johnson & Johnson Ottava,https://www.jnj.com,USA,robot_oem,industrial_robot_arms,Ottava,surgical,Healthcare,pilot,yes,direct+distributor,,curated_oem_list,curated,oem
Brainlab robotics,https://www.brainlab.com,Germany,robot_oem,industrial_robot_arms,cirq,surgical assist,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Renishaw neurological robots,https://www.renishaw.com,UK,robot_oem,industrial_robot_arms,neuromate,neuro surgery,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Auris Health (J&J),https://www.jnjmedtech.com,USA,robot_oem,industrial_robot_arms,Monarch,bronchoscopy robot,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
PROCEPT BioRobotics,https://www.procept-biorobotics.com,USA,robot_oem,industrial_robot_arms,AquaBeam,urology robot,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Accuray,https://www.accuray.com,USA,robot_oem,industrial_robot_arms,CyberKnife,radiosurgery,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Elekta,https://www.elekta.com,Sweden,robot_oem,industrial_robot_arms,Unity/linac robotics,radiotherapy,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Siemens Healthineers robotics,https://www.siemens-healthineers.com,Germany,robot_oem,industrial_robot_arms,imaging robotics,medical,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
GE Healthcare robotics,https://www.gehealthcare.com,USA,robot_oem,industrial_robot_arms,imaging systems,medical,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Philips Image Guided Therapy robotics,https://www.philips.com,Netherlands,robot_oem,industrial_robot_arms,IGT robotics,medical,Healthcare,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Franka Emika industrial,https://www.franka.de,Germany,robot_oem,industrial_robot_arms,FR3,research/industrial,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
Kassow Robots,https://www.kassowrobots.com,Denmark,robot_oem,industrial_robot_arms,7-axis,industrial cobot-class,Manufacturing,commercial,yes,direct+distributor,,curated_oem_list,curated,oem
