vendor_name,family,model_slug,model_name,primary_class,work_to_map,commercial_maturity,calibration_tier,source
MiR (Mobile Industrial Robots),MiR (Mobile Industrial Robots) family,mir-mobile-industrial-robots-1350,1350,amr_agv_material_transport,cart/pallet transport,commercial,2,vendor_primary_robots
Geek+,Geek+ family,geek-p800,P800,amr_agv_material_transport,GTP / sorting,commercial,2,vendor_primary_robots
Geek+,Geek+ family,geek-poppick,PopPick,amr_agv_material_transport,GTP / sorting,commercial,2,vendor_primary_robots
Hai Robotics,Hai Robotics family,hai-robotics-haipick,HAIPICK,amr_agv_material_transport,ACR / tote handling,commercial,2,vendor_primary_robots
Quicktron,Quicktron family,quicktron-quicktron-amr,Quicktron AMR,amr_agv_material_transport,warehouse transport,commercial,2,vendor_primary_robots
Fetch Robotics / Zebra,Fetch Robotics / Zebra family,fetch-robotics-zebra-fetchfreight,FetchFreight,amr_agv_material_transport,AMR transport,commercial,2,vendor_primary_robots
Fetch Robotics / Zebra,Fetch Robotics / Zebra family,fetch-robotics-zebra-cart,Cart,amr_agv_material_transport,AMR transport,commercial,2,vendor_primary_robots
6 River Systems (Shopify),6 River Systems (Shopify) family,6-river-systems-shopify-chuck,Chuck,amr_agv_material_transport,fulfillment AMR,commercial,2,vendor_primary_robots
AutoGuide Mobile Robots,AutoGuide Mobile Robots family,autoguide-mobile-robots-max-n10,MAX N10,amr_agv_material_transport,tugger/AMR,commercial,2,vendor_primary_robots
Clearpath Robotics,Clearpath Robotics family,clearpath-robotics-otto,OTTO,amr_agv_material_transport,AMR platforms,commercial,2,vendor_primary_robots
Clearpath Robotics,Clearpath Robotics family,clearpath-robotics-otto-fleet,OTTO Fleet,amr_agv_material_transport,AMR platforms,commercial,2,vendor_primary_robots
Omron Mobile Robots,Omron Mobile Robots family,omron-mobile-robots-ld,LD,amr_agv_material_transport,AMR,commercial,2,vendor_primary_robots
Omron Mobile Robots,Omron Mobile Robots family,omron-mobile-robots-hd-series,HD series,amr_agv_material_transport,AMR,commercial,2,vendor_primary_robots
Kivnon,Kivnon family,kivnon-kivnon-agv,Kivnon AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
Swisslog,Swisslog family,swisslog-carrypick,CarryPick,amr_agv_material_transport,GTP AMR,commercial,2,vendor_primary_robots
Dematic,Dematic family,dematic-mobile-robots,Mobile Robots,amr_agv_material_transport,warehouse AMR,commercial,2,vendor_primary_robots
Murata Machinery,Murata Machinery family,murata-machinery-agv,AGV,amr_agv_material_transport,material transport,commercial,2,vendor_primary_robots
Murata Machinery,Murata Machinery family,murata-machinery-amr,AMR,amr_agv_material_transport,material transport,commercial,2,vendor_primary_robots
Daifuku,Daifuku family,daifuku-agv-systems,AGV systems,amr_agv_material_transport,material transport,commercial,2,vendor_primary_robots
JBT Corporation,JBT Corporation family,jbt-corporation-agv,AGV,amr_agv_material_transport,industrial AGV,commercial,2,vendor_primary_robots
Oceaneering AGV,Oceaneering AGV family,oceaneering-agv-agv,AGV,amr_agv_material_transport,industrial AGV,commercial,2,vendor_primary_robots
Transbotics,Transbotics family,transbotics-agv,AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
Bastians,Bastians family,bastians-agv,AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
inVia Robotics,inVia Robotics family,invia-robotics-picker,Picker,amr_agv_material_transport,GTP AMR,commercial,2,vendor_primary_robots
IAM Robotics,IAM Robotics family,iam-robotics-swift,Swift,amr_agv_material_transport,mobile pick,commercial,2,vendor_primary_robots
Magazino,Magazino family,magazino-toru,TORU,amr_agv_material_transport,piece picking AMR,commercial,2,vendor_primary_robots
Magazino,Magazino family,magazino-soto,SOTO,amr_agv_material_transport,piece picking AMR,commercial,2,vendor_primary_robots
SAFELOG,SAFELOG family,safelog-agv,AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
AGILOX,AGILOX family,agilox-one,ONE,amr_agv_material_transport,swarm AMR/fork,commercial,2,vendor_primary_robots
AGILOX,AGILOX family,agilox-ocf,OCF,amr_agv_material_transport,swarm AMR/fork,commercial,2,vendor_primary_robots
SEER Robotics,SEER Robotics family,seer-robotics-amr,AMR,amr_agv_material_transport,AMR,commercial,2,vendor_primary_robots
Hikrobot,Hikrobot family,hikrobot-latent-amr,Latent AMR,amr_agv_material_transport,AMR,commercial,2,vendor_primary_robots
Standard Robots,Standard Robots family,standard-robots-amr,AMR,amr_agv_material_transport,AMR,commercial,2,vendor_primary_robots
CSG Huashu,CSG Huashu family,csg-huashu-amr,AMR,amr_agv_material_transport,AMR,commercial,2,vendor_primary_robots
Youibot,Youibot family,youibot-amr,AMR,amr_agv_material_transport,AMR,commercial,2,vendor_primary_robots
Multiway Robotics,Multiway Robotics family,multiway-robotics-amr,AMR,amr_agv_material_transport,AMR,commercial,2,vendor_primary_robots
Multiway Robotics,Multiway Robotics family,multiway-robotics-fork,fork,amr_agv_material_transport,AMR,commercial,2,vendor_primary_robots
VisionNav Robotics,VisionNav Robotics family,visionnav-robotics-visionnav-amr,VisionNav AMR,amr_agv_material_transport,AMR,commercial,2,vendor_primary_robots
Knott AGV,Knott AGV family,knott-agv-agv,AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
DS Automotion,DS Automotion family,ds-automotion-agv,AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
Servus Intralogistics,Servus Intralogistics family,servus-intralogistics-servus,Servus,amr_agv_material_transport,in-production AMR,commercial,2,vendor_primary_robots
Grenzebach,Grenzebach family,grenzebach-lifting-agv,Lifting AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
ASTI Mobile Robotics (ABB),ASTI Mobile Robotics (ABB) family,asti-mobile-robotics-abb-asti-amr,ASTI AMR,amr_agv_material_transport,AMR,commercial,2,vendor_primary_robots
BlueBotics,BlueBotics family,bluebotics-ant-navigation,ANT navigation,amr_agv_material_transport,AMR autonomy,commercial,2,vendor_primary_robots
Kollmorgen AGV,Kollmorgen AGV family,kollmorgen-agv-ndc,NDC,amr_agv_material_transport,AGV controls,commercial,2,vendor_primary_robots
SICK Mobile Robots,SICK Mobile Robots family,sick-mobile-robots-safety-amr-stack,safety AMR stack,amr_agv_material_transport,AMR sensing,commercial,2,vendor_primary_robots
Neobotix,Neobotix family,neobotix-mobile-platforms,mobile platforms,amr_agv_material_transport,AMR platforms,commercial,2,vendor_primary_robots
Robotnik,Robotnik family,robotnik-rb-vogui,RB-VOGUI,amr_agv_material_transport,mobile platforms,commercial,2,vendor_primary_robots
PAL Robotics,PAL Robotics family,pal-robotics-tiago,TIAGo,amr_agv_material_transport,service mobile,commercial,2,vendor_primary_robots
PAL Robotics,PAL Robotics family,pal-robotics-ari,ARI,amr_agv_material_transport,service mobile,commercial,2,vendor_primary_robots
Addverb,Addverb family,addverb-sortie,SortIE,amr_agv_material_transport,warehouse AMR,commercial,2,vendor_primary_robots
Addverb,Addverb family,addverb-cartie,CartIE,amr_agv_material_transport,warehouse AMR,commercial,2,vendor_primary_robots
System Logistics,System Logistics family,system-logistics-agv,AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
Eurofork,Eurofork family,eurofork-agv,AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
Scaglia INDEVA,Scaglia INDEVA family,scaglia-indeva-agv,AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
Mirage AGV,Mirage AGV family,mirage-agv-agv,AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
Rocla AGV (Mitsubishi Logisnext),Rocla AGV (Mitsubishi Logisnext) family,rocla-agv-mitsubishi-logisnext-agv,AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
Mitsubishi Logisnext,Mitsubishi Logisnext family,mitsubishi-logisnext-agv,AGV,amr_agv_material_transport,material handling,commercial,2,vendor_primary_robots
Mitsubishi Logisnext,Mitsubishi Logisnext family,mitsubishi-logisnext-fork,fork,amr_agv_material_transport,material handling,commercial,2,vendor_primary_robots
Toyota Material Handling AGV,Toyota Material Handling AGV family,toyota-material-handling-agv-agv,AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
Jungheinrich AGV,Jungheinrich AGV family,jungheinrich-agv-agv,AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
Still AGV,Still AGV family,still-agv-agv,AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
Linde Material Handling AGV,Linde Material Handling AGV family,linde-material-handling-agv-agv,AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
Crown Equipment AGV,Crown Equipment AGV family,crown-equipment-agv-agv,AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
Hyster-Yale AGV,Hyster-Yale AGV family,hyster-yale-agv-agv,AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
Raymond AGV,Raymond AGV family,raymond-agv-agv,AGV,amr_agv_material_transport,AGV,commercial,2,vendor_primary_robots
Balyo,Balyo family,balyo-driven-by-balyo,Driven by Balyo,amr_agv_material_transport,autonomous pallet,commercial,2,vendor_primary_robots
Symbotic,Symbotic family,symbotic-symbotic-system,Symbotic system,amr_agv_material_transport,warehouse robotics,commercial,2,vendor_primary_robots
Ocado Technology,Ocado Technology family,ocado-technology-grid-bots,grid bots,amr_agv_material_transport,grocery automation,commercial,2,vendor_primary_robots
Alert Innovation (Walmart),Alert Innovation (Walmart) family,alert-innovation-walmart-alphabot,Alphabot,amr_agv_material_transport,GTP,commercial,2,vendor_primary_robots
Takeoff Technologies,Takeoff Technologies family,takeoff-technologies-egrocery-microfulfillment,eGrocery microfulfillment,amr_agv_material_transport,microfulfillment,commercial,2,vendor_primary_robots
Fabric,Fabric family,fabric-microfulfillment,microfulfillment,amr_agv_material_transport,microfulfillment,commercial,2,vendor_primary_robots
Attabotics,Attabotics family,attabotics-3d-structure,3D structure,amr_agv_material_transport,storage/retrieval,commercial,2,vendor_primary_robots
AutoStore,AutoStore family,autostore-r5,R5,amr_agv_material_transport,cube storage,commercial,2,vendor_primary_robots
AutoStore,AutoStore family,autostore-r5,R5+,amr_agv_material_transport,cube storage,commercial,2,vendor_primary_robots
Berkshire Grey,Berkshire Grey family,berkshire-grey-robotic-sortation,robotic sortation,amr_agv_material_transport,sortation,commercial,2,vendor_primary_robots
Kindred AI (Ocado),Kindred AI (Ocado) family,kindred-ai-ocado-sort,SORT,amr_agv_material_transport,piece picking,commercial,2,vendor_primary_robots
Caja Robotics,Caja Robotics family,caja-robotics-amr,AMR,amr_agv_material_transport,fulfillment AMR,commercial,2,vendor_primary_robots
Gideon Brothers,Gideon Brothers family,gideon-brothers-amr,AMR,amr_agv_material_transport,material transport,commercial,2,vendor_primary_robots
Milvus Robotics,Milvus Robotics family,milvus-robotics-amr,AMR,amr_agv_material_transport,AMR,commercial,2,vendor_primary_robots
Ottonomy,Ottonomy family,ottonomy-ottobot,Ottobot,amr_agv_material_transport,indoor/outdoor AMR,commercial,2,vendor_primary_robots
Hangcha Intelligent,Hangcha Intelligent family,hangcha-intelligent-intelligent-forklift,intelligent forklift,autonomous_forklift_pallet,autonomous forklift,commercial,2,vendor_primary_robots
EP Equipment,EP Equipment family,ep-equipment-ep-autonomous,EP autonomous,autonomous_forklift_pallet,pallet trucks,commercial,2,vendor_primary_robots
Heli Intelligent,Heli Intelligent family,heli-intelligent-heli-agv-fork,Heli AGV fork,autonomous_forklift_pallet,autonomous forklift,commercial,2,vendor_primary_robots
Yale Reliant / robotic,Yale Reliant / robotic family,yale-reliant-robotic-robotic-solutions,robotic solutions,autonomous_forklift_pallet,material handling,commercial,2,vendor_primary_robots
Clark Material Handling robotic,Clark Material Handling robotic family,clark-material-handling-robotic-robotic-forklift,robotic forklift,autonomous_forklift_pallet,forklift automation,commercial,2,vendor_primary_robots
Combilift AGV,Combilift AGV family,combilift-agv-combi-agv,Combi-AGV,autonomous_forklift_pallet,long-load AGV,commercial,2,vendor_primary_robots
Hubtex AGV,Hubtex AGV family,hubtex-agv-agv-multidirectional,AGV multidirectional,autonomous_forklift_pallet,sideloader AGV,commercial,2,vendor_primary_robots
BAUMANN AGV,BAUMANN AGV family,baumann-agv-sideloader-agv,sideloader AGV,autonomous_forklift_pallet,long loads,commercial,2,vendor_primary_robots
Landing AI Logistics partners,Landing AI Logistics partners family,landing-ai-logistics-partners-vision-forklift,vision forklift,autonomous_forklift_pallet,vision autonomy,commercial,2,vendor_primary_robots
Outrider,Outrider family,outrider-yard-truck-autonomy,yard truck autonomy,autonomous_forklift_pallet,yard logistics,commercial,2,vendor_primary_robots
Gatik,Gatik family,gatik-middle-mile-autonomy,middle-mile autonomy,autonomous_forklift_pallet,freight,commercial,2,vendor_primary_robots
Phantom Auto,Phantom Auto family,phantom-auto-teleop-forklift,teleop forklift,autonomous_forklift_pallet,remote forklift,commercial,2,vendor_primary_robots
Robotic Research / RR.AI,Robotic Research / RR.AI family,robotic-research-rr-ai-autodrive,AutoDrive,autonomous_forklift_pallet,vehicle autonomy,commercial,2,vendor_primary_robots
EK Robotics,EK Robotics family,ek-robotics-agv,AGV,autonomous_forklift_pallet,AGV,commercial,2,vendor_primary_robots
EK Robotics,EK Robotics family,ek-robotics-amr,AMR,autonomous_forklift_pallet,AGV,commercial,2,vendor_primary_robots
MT Robot,MT Robot family,mt-robot-forklift-amr,forklift AMR,autonomous_forklift_pallet,autonomous forklift,commercial,2,vendor_primary_robots
Reeman Robotics,Reeman Robotics family,reeman-robotics-forklift-amr,forklift AMR,autonomous_forklift_pallet,autonomous forklift,commercial,2,vendor_primary_robots
Zhejiang Guozi Robotics,Zhejiang Guozi Robotics family,zhejiang-guozi-robotics-forklift-amr,forklift AMR,autonomous_forklift_pallet,autonomous forklift,commercial,2,vendor_primary_robots
Shanghai Noblelift Intelligent,Shanghai Noblelift Intelligent family,shanghai-noblelift-intelligent-intelligent-trucks,intelligent trucks,autonomous_forklift_pallet,pallet trucks,commercial,2,vendor_primary_robots
Doosan Industrial Vehicle robotic,Doosan Industrial Vehicle robotic family,doosan-industrial-vehicle-robotic-robotic-forklift,robotic forklift,autonomous_forklift_pallet,forklift,commercial,2,vendor_primary_robots
Hyundai Material Handling robotic,Hyundai Material Handling robotic family,hyundai-material-handling-robotic-robotic-forklift,robotic forklift,autonomous_forklift_pallet,forklift,commercial,2,vendor_primary_robots
Mitsubishi Forklift Automation,Mitsubishi Forklift Automation family,mitsubishi-forklift-automation-automated,automated,autonomous_forklift_pallet,forklift AGV,commercial,2,vendor_primary_robots
UniCarriers automated,UniCarriers automated family,unicarriers-automated-automated,automated,autonomous_forklift_pallet,forklift AGV,commercial,2,vendor_primary_robots
PALOMAT automated pallet,PALOMAT automated pallet family,palomat-automated-pallet-pallet-magazine,pallet magazine,autonomous_forklift_pallet,pallet handling,commercial,2,vendor_primary_robots
SoftBank Robotics warehouse partners,SoftBank Robotics warehouse partners family,softbank-robotics-warehouse-partners-warehouse-amr-partners,warehouse AMR partners,autonomous_forklift_pallet,warehouse,commercial,2,vendor_primary_robots
FANUC,FANUC family,fanuc-r-2000,R-2000,industrial_robot_arms,welding/handling,commercial,2,vendor_primary_robots
FANUC,FANUC family,fanuc-lr-mate,LR Mate,industrial_robot_arms,welding/handling,commercial,2,vendor_primary_robots
KUKA,KUKA family,kuka-kr-series,KR series,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Yaskawa Motoman,Yaskawa Motoman family,yaskawa-motoman-gp,GP,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Yaskawa Motoman,Yaskawa Motoman family,yaskawa-motoman-hc-series,HC series,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Kawasaki Robotics,Kawasaki Robotics family,kawasaki-robotics-rs,RS,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Kawasaki Robotics,Kawasaki Robotics family,kawasaki-robotics-bx-series,BX series,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Mitsubishi Electric Robotics,Mitsubishi Electric Robotics family,mitsubishi-electric-robotics-rv,RV,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Mitsubishi Electric Robotics,Mitsubishi Electric Robotics family,mitsubishi-electric-robotics-rh,RH,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Nachi Robotics,Nachi Robotics family,nachi-robotics-mz,MZ,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Nachi Robotics,Nachi Robotics family,nachi-robotics-mc,MC,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Denso Robotics,Denso Robotics family,denso-robotics-vs,VS,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Denso Robotics,Denso Robotics family,denso-robotics-hm,HM,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Epson Robots,Epson Robots family,epson-robots-scara,SCARA,industrial_robot_arms,assembly,commercial,2,vendor_primary_robots
Epson Robots,Epson Robots family,epson-robots-6-axis,6-axis,industrial_robot_arms,assembly,commercial,2,vendor_primary_robots
Staubli Robotics,Staubli Robotics family,staubli-robotics-tx,TX,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Staubli Robotics,Staubli Robotics family,staubli-robotics-ts,TS,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Comau,Comau family,comau-nj,NJ,industrial_robot_arms,automotive arms,commercial,2,vendor_primary_robots
Comau,Comau family,comau-racer,Racer,industrial_robot_arms,automotive arms,commercial,2,vendor_primary_robots
Igus ReBeL / robolink,Igus ReBeL / robolink family,igus-rebel-robolink-rebel,ReBeL,industrial_robot_arms,low-cost arms,commercial,2,vendor_primary_robots
Reis Robotics,Reis Robotics family,reis-robotics-welding-systems,welding systems,industrial_robot_arms,welding,commercial,2,vendor_primary_robots
CLOOS Robotics,CLOOS Robotics family,cloos-robotics-welding-robots,welding robots,industrial_robot_arms,welding,commercial,2,vendor_primary_robots
OTC Daihen,OTC Daihen family,otc-daihen-welding-robots,welding robots,industrial_robot_arms,welding,commercial,2,vendor_primary_robots
Panasonic Robotics welding,Panasonic Robotics welding family,panasonic-robotics-welding-welding-robots,welding robots,industrial_robot_arms,welding,commercial,2,vendor_primary_robots
Hyundai Robotics,Hyundai Robotics family,hyundai-robotics-hs,HS,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Hyundai Robotics,Hyundai Robotics family,hyundai-robotics-hh,HH,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Hanwha Robotics,Hanwha Robotics family,hanwha-robotics-hcr,HCR,industrial_robot_arms,industrial/cobot,commercial,2,vendor_primary_robots
Hanwha Robotics,Hanwha Robotics family,hanwha-robotics-hcr-series,HCR series,industrial_robot_arms,industrial/cobot,commercial,2,vendor_primary_robots
Estun Automation,Estun Automation family,estun-automation-er-series,ER series,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
SIASUN,SIASUN family,siasun-industrial-robots,industrial robots,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
EFORT Intelligent,EFORT Intelligent family,efort-intelligent-er-series,ER series,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
STEP Electric,STEP Electric family,step-electric-industrial-robots,industrial robots,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
GSK CNC Equipment robots,GSK CNC Equipment robots family,gsk-cnc-equipment-robots-gsk-robots,GSK robots,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Peitian Robotics,Peitian Robotics family,peitian-robotics-industrial-robots,industrial robots,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Harbin Boshi Automation,Harbin Boshi Automation family,harbin-boshi-automation-industrial-robots,industrial robots,industrial_robot_arms,industrial arms,commercial,2,vendor_primary_robots
Rethink Robotics (original Sawyer legacy),Rethink Robotics (original Sawyer legacy) family,rethink-robotics-original-sawyer-legacy-sawyer-legacy,Sawyer legacy,industrial_robot_arms,cobot/arm,discontinued,2,vendor_primary_robots
Brooks Automation,Brooks Automation family,brooks-automation-semiconductor-robots,semiconductor robots,industrial_robot_arms,wafer handling,commercial,2,vendor_primary_robots
Genmark Automation,Genmark Automation family,genmark-automation-wafer-robots,wafer robots,industrial_robot_arms,semiconductor,commercial,2,vendor_primary_robots
RORZE,RORZE family,rorze-wafer-robots,wafer robots,industrial_robot_arms,semiconductor,commercial,2,vendor_primary_robots
